0,1
من أيّ وقت تقبلون الغسيل صباح الغد ؟,من أيّ وقت تقبلون الغسيل صباح الغد ؟
انا مبسوط انها عجبتك . انا اخدتها في بيعة في هايبر ماركت ايه بي سي .,أنا سعيد لأنك أحببتها . لقد حصلت عليها عبر صفقة بيع في محل متعدد الاقسام ايه بي سي .
شاي ياباني ، من فضلك .,شاي ياباني ، من فضلك .
لأ، حكلمه تاني.,كلا . سأتصل به مرة أخرى .
حأكتبلك .,سأكتب لك .
عايزه كريم بشرة مسائي.,أريد بعض الكريم الليلي .
هل الحافلة المتجهة إلى الباسو ستغادر في موعدها المحدد ؟,هل الحافلة المتجهة إلى الباسو ستغادر في موعدها المحدد ؟
أنا استمتعت بالقعدة. متشكر.,لقد تمتعت بإقامتي . شكراً لك .
ممكن اشوف شهادة التطعيم بتاعتك، لو سمحت؟,"هل يمكنني أن أطلع على شهادة التطعيم الخاصة بك , من فضلك ؟"
أريد أن أستأجر قارب بمرشد من فضلك .,أريد أن أستأجر قارب بمرشد من فضلك .
هو ممكن أروح فين علشان آخده؟,أي الأماكن أتوجه إليها للحصول عليها ؟
كم مرة تمر الحافلة رقم تسعة ؟,كم مرة تمر الحافلة رقم تسعة ؟
مكن أفضل تلات ليال؟,أيمكنني أن أبقى ثلاث ليالٍ ؟
ممكن توريني حاجة تانية؟,هل يمكنني أن أرى شيئاً آخر ؟
أوه ، بعض من رقائق البسكويت المملح . وهل بمقدوري إلقاء نظرة على فاتورة الحساب ؟,أوه ، بعض من رقائق البسكويت المملح . وهل بمقدوري إلقاء نظرة على فاتورة الحساب ؟
حتستمر اد ايه؟,ما المدة التي ستعمل هي فيها ؟
ماذا ستشتري ؟,ماذا ستشتري ؟
"انت متأكد ان ماعندكش حجز بأسم ""سوزوكي""؟ طيب فيه "" تيتسو""؟",هل أنت متأكد أنك لم تحجز باسم سوزوكي ؟ فماذا عن تيتسيو ؟
هلا أخبرتني عن الحافلة أو القطار المتجه إلى وسط المدينة ؟,هلا أخبرتني عن الحافلة أو القطار المتجه إلى وسط المدينة ؟
شكراً جزيلاً . هيا . دعنا نذهب .,شكراً جزيلاً . هيا . دعنا نذهب .
يبدو أن ثمة مجالات للتحسينات .,يبدو أن ثمة مجالات للتحسينات .
كويس قوي متحف فنون متروبوليتان .,متحف الفن بالمدينة جيد .
هل تعرف طبيب أسنان جيد ؟,هل تعرف طبيب أسنان جيد ؟
عشرين نموذج إضافيين هايتبعتولك بالبريد.,سنبعث لك بالبريد عشرين عينة إضافية .
لقد قضيت وقتاً رائعاً هذا المساء ، شكراً لك .,لقد قضيت وقتاً رائعاً هذا المساء ، شكراً لك .
هاخد شوربة خضار و لحمة مشوية، من فضلك.,سآخذ حساء الخضار وشرائح الضأن المشوية ، من فضلك .
بص، انا حأكلمك بعدين . شكرا .,"حسنا , سوف أستدعيك فيما بعد ، شكراً ."
أين سيتجه هذا القطار ؟,أين سيتجه هذا القطار ؟
ما أخدتش وجبتي لسه. ممكن آخدها دلوقتي؟,لم آخذ وجبتي بعد . هل يمكنني ذلك الآن ؟
سبت كاميرتي في الاوضة .,تركت الكاميرا في الغرفة .
حاديهولك مخصوص عشانك بميتين و تلاتين دولار، هاه .,"سأعطيها لك خصيصا مقابل مائتين وثلاثين دولارا , إذن ."
طبعا . بس مافيش أى اوض تانيه بسريرين فاضله الليله ديه .,طبعا ، لكن لا توجد غرفة مزدوجة أخرى لليلة .
لذيذ.,لذيذ .
تمام . عندك اى اعراض جانبية او حساسية؟,صحيح . هل لديك أية ردود فعل ثانوية أو نفور ؟
متهيألي الإيصال ده غلط. ممكن تبص عليه، لو سمحت؟,أعتقد أن هذا الإيصال خطأ . هل راجعته من فضلك ؟
كم ستستغرق من الوقت ؟,كم ستستغرق من الوقت ؟
هل ترقصين معي ؟,هل ترقصين معي ؟
نقدم ساندوتشات و مشروبات من الحادية عشر مساءا حتى السادسة صباحاً .,نقدم ساندوتشات و مشروبات من الحادية عشر مساءا حتى السادسة صباحاً .
هل يمكن أن أرى أخرى ؟,هل يمكن أن أرى أخرى ؟
حقيقي. دي المرة التانية بالنسبة لنا من ساعة ما زرنا هنا وإحنا عرسان في شهر العسل.,حقا . هذه ثاني مرة بالنسبة لنا منذ جاءنا هنا لقضاء شهر العسل .
اكيد . ديه ايه؟,بالتأكيد . ما هو ؟
أتخبطت بعربية ووقعت .,لقد صدمتني سيارة وسقطت على الأرض .
ما الكمية التي تريدها ؟,ما الكمية التي تريدها ؟
هل لديك سمك مقلي ؟,هل لديك سمك مقلي ؟
قول بالراحة.,قلها ببطء .
للأسف مش يوصلش غير بكره .,يجب أن أذهب الآن .
فستان فرنسي من فضلك .,فستان فرنسي من فضلك .
سأسافر .,سأسافر .
خليك ماشي على طول مع النهر حوالي نص ميل. هتلاقي الجنينة.,سر في خط مستقيم على طول النهر حوالي نصف ميل . ستصل للمتنزه .
لما يوصل، هندفع علشان نشحنه لعنوان بيتك.,لدي وصولها ، سوف ندفع ثمن شحنها إلى عنوان منزلك .
عندي وجع في عيني اليمين.,عندي ألم في عيني اليمنى .
نعم ، أحببتها جداً . شكراً لك .,نعم ، أحببتها جداً . شكراً لك .
رقم هاتفي هو واحد اثنان ثلاثة أربعة خمسة ستة سبعة .,رقم هاتفي هو واحد اثنان ثلاثة أربعة خمسة ستة سبعة .
ممكن تعملي خدمة؟,هل تسدي لي معروفاً ؟
سأتناول ما تبقى لليلة .,سأتناول ما تبقى لليلة .
أود كاميرا ، من فضلك .,أود كاميرا ، من فضلك .
بالفعل أنا في فترة الحيض . هل هذه مشكلة ؟,بالفعل أنا في فترة الحيض . هل هذه مشكلة ؟
ممكن اسأل عن أسمك؟,هل لي أن أسأل عن اسمك ؟
من فضلك احفظ هذه الحقائب في محتجز الجمارك .,من فضلك احفظ هذه الحقائب في محتجز الجمارك .
ايوه، أشكرك .,نعم ، شكراً لك .
اسمح لي ، أين أستطيع شراء التذاكر لبرودواي ؟,اسمح لي ، أين أستطيع شراء التذاكر لبرودواي ؟
عايز أوضة بمنظر جميل.,أريد غرفة بمنظر جميل .
هل لعب كينج بنوج كرة البنج بنوج في هونج كونج ؟,هل لعب كينج بنوج كرة البنج بنوج في هونج كونج ؟
في يوم رأس السنة. وفي المناسبات الخاصة زي الأفراح وحفلات التكريم والجنازات.,في أيام السنة الجديدة . وفي مناسبات خاصة مثل حفلات الزواج ومراسم منح الجوائز أو في العزاء .
هل تعرف اسم السيدة الأنيقة التي ترقص مع السيد كول ؟,هل تعرف اسم السيدة الأنيقة التي ترقص مع السيد كول ؟
أعذرني .,عذراً .
عذرا . هل هذا هو الطريق الصحيح إلى البنك الوطني الأول ؟,عذرا . هل هذا هو الطريق الصحيح إلى البنك الوطني الأول ؟
يبدو هذا مسليا . ماذا تنتظر ؟,يبدو هذا مسليا . ماذا تنتظر ؟
ممكن تحطه في الصندوق؟,هل يمكنك أن تضعها في علبة ؟
المسار رقم خمسة بالظبط قدامك هناك .,الطريق رقم خمسة على اليمين هناك .
ممكن بديل سكر؟,هل يمكن أن أحصل على محلي اصطناعي ؟
واحد من أصل ميه .,من مائة .
مش عارف اد ايه الحجم .,لا أعلم ما هو المقاس .
مفروض أستنى فين؟,أين يجب أن أنتظر ؟
هل لك أن توصلني لغرفة الأستاذ موري ؟,هل لك أن توصلني لغرفة الأستاذ موري ؟
هاتقدر تعمله على إمتى؟,ما موعد انتهائك من أداء ذلك ؟
أنه شيء رائع منك أن تقول ذلك .,أنه شيء رائع منك أن تقول ذلك .
ممكن نرتب علشان الأوض بتاعتك تتنضف.,نستطيع أن نرتب لتنظيف غرفاتكم .
كم تكلف لمدة ساعة ؟,كم تكلف لمدة ساعة ؟
ممكن آخد إزازة مية سخنة؟,هل من الممكن أن حصل على زجاجة ماء ساخن ؟
فيه كازينوهات حلوة هنا؟,هل توجد أية كازينوهات جيدة ؟
عاوز أحدد ميعاد مع دكتور.,أودّ حجز موعد مع طبيب .
أنت لازم تاخده تسعه وتسعين مرة فى اليوم، قبل الأكل.,لابد أن تأخذها تسعة وتسعون مرة في اليوم ، قبل الوجبات .
ما استخدمتش خدمة الغسيل عندك . ممكن تتأكد من ده تاني؟,لم أستخدم خدمة الغسيل عندكم . أيمكنك التحقق مرة أخرى ؟
رقم تأكيدي هو خمسة ستة سبعة كيو ال أر .,رقم تأكيدي هو خمسة ستة سبعة كيو ال أر .
هل لك أن ترسل أحداً ما إلى هنا فوراً ؟,هل لك أن ترسل أحداً ما إلى هنا فوراً ؟
هل تعطلت في زحمة المرور ؟,هل تعطلت في زحمة المرور ؟
عايزين نحجز اربع ليالي من اول اغسطس .,نرغب في أن نقيم أربع ليالي بدءاً من أول أغسطس .
أرغب في التسوق . أين منطقة وسط البلد ؟,أرغب في التسوق . أين منطقة وسط البلد ؟
تمام. لو سمحت احجز كرسيين درجة أولى فى الرحلة دي.,حسناً . من فضلك احجز مقعدين على الدرجة الأولى في هذه الرحلة .
هو ينفع ان مفيش حد يسمع لتعليمات الامان؟,هل من المقبول عدم اتباع أي شخص لتعليمات الأمن ؟
إنلاند سي هادية وجميلة.,إن البحر الداخلي هادئ وجميل .
ليس لدي وقت كثير .,ليس لدي وقت كثير .
أريد شيئا للبرد .,أريد شيئا للبرد .
لدينا حساء فول الصويا فورية الذوبان .,لدينا حساء فول الصويا فورية الذوبان .
كم تبلغ تكلفة الدخول ؟,كم تبلغ تكلفة الدخول ؟
ممكن تديني ورقة أو أي حاجة؟,هل لي أن أجد ورقة أو شيء ما ؟
إزيك. فرصة لطيفة إني اقابلك.,أهلا . فرصة سعيدة .
أوكي. ممكن أحط شنط إيدي فين؟ أحطها هنا؟,"حسنا , أين يمكنني أن أضع حقيبتي اليدوية ؟ هل من الممكن أن أضعها هنا ؟"
الجزم ديه متينة؟,هل هذا الحذاء متين ؟
الميني جيب مع البوت مش هايقدم ابدا.,إن الجونلات القصيرة ومعها الأحذية الطويلة لن تنقضي موضتها .
لماذا الاسطوانات المدمجة أرخص كثيراً هنا ؟,لماذا الاسطوانات المدمجة أرخص كثيراً هنا ؟
إن الطحالب لا تلصق بالحجر المتحرك .,إن الطحالب لا تلصق بالحجر المتحرك .
شراب الشمام كحلاء ، من فضلك .,شراب الشمام كحلاء ، من فضلك .
هو احنا هنوصل امتى؟,متى سنصل ؟
هو انا فعليا عندي البريود. هل ده مشكلة؟,بالفعل أنا في فترة الحيض . هل هذه مشكلة ؟
عايز عصير برتقان، توست، بيض مخفوق و قهوة، من فضلك.,أحب أن أتناول عصير البرتقال ؟ وخبز التوست ، وبيض مقلي ، وقهوة ، من فضلك .
ممكن تدين روشته؟,هل يمكن أن تعطني وصفة طبية ؟
مفيش صابونة في أوضتي.,لا يوجد صابون في غرفتي .
ليس لدى وقت . أسرع ، من فضلك .,ليس لدى وقت . أسرع ، من فضلك .
إنني أرتجف .,إنني أرتجف .
أنا فاهم . من فضلك املأ هذه الاستمارة . قد لا نستطيع العثور عليها ، ولذلك يجب عليك الاتصال بشركة الائتمان .,أنا فاهم . من فضلك املأ هذه الاستمارة . قد لا نستطيع العثور عليها ، ولذلك يجب عليك الاتصال بشركة الائتمان .
تمام، الوقت اتأخر شوية. بيتهيألي لازم أمشي دلوقت. شكرا ليك جدا ع الليلة الرائعة.,"حسنا , الوقت متأخر إلى حد ما . أعتقد أنني يجب على أن أغادر الآن . شكرا جزيلا لك على الأمسية الرائعة ."
ما هي أشهر مسرحية موسيقية الآن ؟,ما هي أشهر مسرحية موسيقية الآن ؟
شاي بلبن .,شاي بلبن .
كم تبلغ تعريفة البرقية الجوية من فضلك ؟,كم تبلغ تعريفة البرقية الجوية من فضلك ؟
ممكن تاخدني لمحطة يونيون و ترجع بيا؟,هل لك أن تأخذني إلى يونيون استيشن وتعديني ؟
متى أول قطار إلى أكسفورد ؟,متى أول قطار إلى أكسفورد ؟
هل يجب أن ندفع للمشروبات ؟,هل يجب أن ندفع للمشروبات ؟
عايز أحجز ملعب التنس على الساعة تلاتة الضهر لمدة ساعة.,أريد أن أحجز ملعب تنس في الثالثة ظهراً لمدة ساعة .
هل يمكنك أن تقف في هذا المكان لأنني أريد أن ألتقط بعض الصور ؟,هل يمكنك أن تقف في هذا المكان لأنني أريد أن ألتقط بعض الصور ؟
من فضلك اديني نظارات مقربة للأوبرا . ادفع كام عشان الامن؟,من فضلك أعرني واحدة من نظارات الأوبرا . كم تتقاضون كرهن ؟
آخد الشنط بتاعة رحلة الخطوط اليابانية واحد وعشرين منين؟,أين يمكنني آخذ أمتعتي من على متن رحلة الخطوط الجوية اليابانية رحلة رقم واحد وعشرين ؟
اثنان صفر اثنان تسعة ثلاثة تسعة ستة سبعة صفر صفر .,اثنان صفر اثنان تسعة ثلاثة تسعة ستة سبعة صفر صفر .
سوف أقيم مع صديق في نيويورك .,سوف أقيم مع صديق في نيويورك .
الجزء المكتوب بالميل ده بيتكلم عن التغيرات اللي حصلت في التسعينات.,الجزء المكتوب بالطريقة المائلة يشير إلى التغييرات التي حدثت في التسعينات .
عايز كتاب تلوين .,أريد كتاب تلوين .
هل يمكن أن أطلب كأس نبيذ ؟,هل يمكن أن أطلب كأس نبيذ ؟
عندك أي جولة تانية؟,هل لديكم أية جولة سياحية أخرى ؟
نعم ، شكرا . أريد كوباً من الشاي .,نعم ، شكرا . أريد كوباً من الشاي .
خلينا نشوف. اللعبة تبدأ الساعة اتنين؟ آه، نقدر نعمل كده.,لنرى . المباراة ستبدأ في الثانية ؟ آه ، من المفروض أن يكون باستطاعتنا القيام بها .
المصنع ده مساحته قد إيه، بالمقاسات المترية؟,كم مساحة موقع المصنع ، بقياسات مترية ؟
أي نوع من الملابس ؟,أي نوع من الملابس ؟
أريد مشروب كوكتيل قوي . هلا خلطت لي بعضاً منه ؟,أريد مشروب كوكتيل قوي . هلا خلطت لي بعضاً منه ؟
من فضلك عاوز أسجل شنط السفر بتاعتى.,أريد تسجيل أمتعتي .
هل هناك حافلة ؟,هل هناك حافلة ؟
هل كان عندك الكفاية ؟,هل كان عندك الكفاية ؟
عايز ألحق طيارة لوس انجلوس بكرة الصبح بدري.,علي أن ألحق طائرة متجهة للوس أنجليس باكر صباح غد .
"يبقى أقدر بثقة أرشح "" جولة مدينة سان فرانسيسكو "" دى. دة هيوريك الخطوط العريضة لسان فرانسيسكو.",إذاً يمكنني بكل ثقة أن أزكي برج مدينة سان فرانسيسكو . فهذا يعطيك فكره عن سان فرانسيسكو .
عايز كيكة متزوقة كويس، إذا سمحت .,سأتناول فطيرة على الموضة من فضلك .
لقد اصطدمت بسيارتي في حفرة .,لقد اصطدمت بسيارتي في حفرة .
هل سأسترد ما أنفقت عند عودتي إلى اليابان ؟,هل سأسترد ما أنفقت عند عودتي إلى اليابان ؟
هل يمكنني التحدث مع السيد جونز ؟,هل يمكنني التحدث مع السيد جونز ؟
ممكن تقولي قبل مانوصل لديرهام؟,هلا أخبرتني قبل أن نصل إلى درهام ؟
هل يمكنني الذهاب مرتدياً الجينز والحذاء الرياضي ؟,هل يمكنني الذهاب مرتدياً الجينز والحذاء الرياضي ؟
في باص مطار لفندق الشيراتون؟,هل يوجد هناك أي أتوبيس من المطار إلى فندق الشيراتون ؟
من يقف على التلّ لفريق سينسيناتي ريدز ؟,من يقف على التلّ لفريق سينسيناتي ريدز ؟
من المدير ؟,من المدير ؟
فيه أى حاجه انت ما تقدرش تاكلها؟,هل هناك أيّ شيء لا يمكنك آكله ؟
اوه، لأ . كان لازم نتشيك للمسرح .,أوه ، لا . كان يجب علينا ارتداء ملابس سهرة للمسرح .
أوه، اظاهر إني لازم أضيع حاجة في كل مرة وأنا مسافر.,أوه ، يبدو أنني افقد شيء ما كل وقت أسافر فيه .
رحلتنا تبدأ واحد وعشرين يوليو وتنتهي سبعة وعشرين.,تبدأ رحلتنا في الأول و العشرون من يوليو و تنتهي في السابع و العشرين .
لو سمحت وريني شوية ساعات رجالي.,من فضلك أرني بعض الساعات الرجالي .
أنا رحت العرض بتاعك تلات مرات السن اللي فاتت في اليابان.,لقد ذهبت إلى معرضك ثلاث مرات العام الماضي في اليابان .
معذرة . أعتقد أن مقعدي بجوار مقعدك .,معذرة . أعتقد أن مقعدي بجوار مقعدك .
أكتب، من فضلك .,دونها ، من فضلك .
فيه أى تعديلات انت عايز تعملها؟,هل هناك أي تعديلات تحب أن نجريها ؟
أعتقد دي فكرة كويسة جدا. أنا دايما باقول إن المتاحف دي أحسن مكان نبتدي منه عشان نعرف البلد. طيب، المفروض نروح فين؟ أنا سامع إن في معرض أمريكاني هندي جميل في المنطقة.,أعتقد أنها فكرة طيبة . رأي دائما هو أن المتاحف هي أفضل ما يمكن البدء به للتعرف على بلد ما . حسنا ، إلى أين يجب أن نذهب ؟ لقد سمعت أنه يوجد معرض رائع للهنود الأمريكيين في متحف المقاطعة .
حأرجع و أكلمك .,سوف أتصل مرة أخرى .
حقيبتي اليدوية سُرقت .,حقيبتي اليدوية سُرقت .
إمتى حيكون عندك كتب متوقعة؟,متى يتم توقيع عقود المكتب ؟
فيه صندوق تليفون قدام البنك ده .,يوجد صندوق للهاتف أمام هذا المصرف .
ما هو طبقكم المميز ؟,ما هو طبقكم المميز ؟
مرحباً هاري . أشكرك على دعوتك لنا .,مرحباً هاري . أشكرك على دعوتك لنا .
يوجد شيء خطأ في المرشح .,يوجد شيء خطأ في المرشح .
لأ، شكرا . بس قوله اني كلمته و حأكلمه تاني بعد الضهر .,"لا , شكرا . أبلغه فقط أنني اتصلت وأني سوف أتصل ثانية فيما بعد عصر اليوم ."
في كورس مدته أسبوعين؟,هل هناك دورة لمدة أسبوعين ؟
لقد سرق كيس نقودي في محل السلع المعفاة من الضرائب .,لقد سرق كيس نقودي في محل السلع المعفاة من الضرائب .
هبقى قاعدين.,سنمكث .
في أي الدول صنعت هذه .,في أي الدول صنعت هذه .
لدي ثلاث حقائب .,لدي ثلاث حقائب .
عايز سي دي .,أريد اسطوانة مدمجة .
لص . أمسكوا به .,لص . أمسكوا به .
حاخد طبقة مكرونه شرايط لينجوين .,سأتناول مكرونة لينجوين .
ميت دولا لليلة، زائد رسم الضريبة والخدمة.,مائة دولار في الليلة ، بالإضافة إلى تكلفة الخدمة والضرائب .
يستحسن ما اشتريش حاجات كبيرة .,الأفضل ألا أشتري أشياء ضخمة ؟
تحب تأمن؟,هل ترغب في إلغاء التأمين ؟
أريد رداءا ذات أكمام طويلة .,أريد رداءا ذات أكمام طويلة .
ليه دة بيحصل؟,لماذا يحدث هذا ؟
"التالي من فضلك . جواز سفرك ، وبطاقة الهبوط , وإيصال الجمارك , من فضلك .","التالي من فضلك . جواز سفرك ، وبطاقة الهبوط , وإيصال الجمارك , من فضلك ."
هو القطر ده بيروح على إيدنبره مباشرة؟,هل هذا القطار يتجه مباشرة إلى إدنبره ؟
كنت عايز بكرتين أيزو مية. فيلم ملون، ستة وتلاتين صورة، لو سمحت.,أريد لفتان من ISO مائة ، فيلم ملون ، ستة وثلاثين لقطة ، من فضلك .
هو فيه أي ماتشات لنيويورك يانكيز الأسبوع ده؟,هل هناك أي ألعاب يانكيز نيويورك هذا الأسبوع ؟
الوقت المتوقع للوصول امتى؟,ما هو الميعاد المقدر للوصول ؟
فاتتني محطتي . كم من الوقت استغرق لأصل للمحطة التالية ؟,فاتتني محطتي . كم من الوقت استغرق لأصل للمحطة التالية ؟
ميعاده متحدد الساعة تمانية ونص بالليل بالتوقيت المحلى.,موعده المقرر هو الثامنة والنصف مساءْ بالتوقيت المحلي .
عندي أوضة دبل بسريرين منفصلين .,لدى غرفة مزودجة بسريرين فرديين .
اد ايه شنط اقدر اخدها معايا؟,ما حجم الأمتعة التي يمكنني حملها ؟
ماكنش فيه اى مشكلة .,لم يسبب هذا مشاكل على الإطلاق .
هل يمكنك أن تخدمني حالا ؟,هل يمكنك أن تخدمني حالا ؟
قميصي عرقان .,قميصي رائحته عرق .
لو سمحت. أنا طالب جامعى من اليابان. إنتوا طلاب جامعة نيويورك؟,معذرة . أنا طالب جامعي من اليابان . هل أنتم طلاب في جامعة نيويورك ؟
الرقم تسعة تسعة تسعة تسعة، تسعة تسعة تسعة تسعة، تسعة تسعة تسعة تسعة، تسعة تسعة تسعة تسعة.,"الرقم هو تسعة تسعة تسعة تسعة ، تسعة تسعة تسعة تسعة , تسعة تسعة تسعة تسعة ، تسعة تسعة تسعة تسعة ."
اه . .شابيزوكي واحشني.,آه لقد فقدت شبزوكي .
بالمناسبة ، هل تقبل المتاجر متعددة الأقسام الشيكات السياحية ؟,بالمناسبة ، هل تقبل المتاجر متعددة الأقسام الشيكات السياحية ؟
ممكن تجيبلي حتة صابون.,من فضلك أحضر لي قطعة من الصابون
فندق أمن يقدم فطار كويس، لو سمحت.,أريد فندقاً آمنا يقدم إفطاراً جيدا ، من فضلك ؟
الشباب اليابانيين بيحبوا الموسيقى.,يهتم المراهقون اليابانيون بالموسيقى .
يمكنك تحويلها في أي من البنوك بالمطار .,يمكنك تحويلها في أي من البنوك بالمطار .
ازاي اقدر أظبط التهوية؟,كيف أعدّل التهوية ؟
شذبها قليلاً فوق الحواجب ، من فضلك .,شذبها قليلاً فوق الحواجب ، من فضلك .
عندي حساسيه من البيض .,لدي حساسية للبيض .
ناوي تعمل ايه بالشنطة الصغيرة ديه؟,ماذا ستفعل مع هذه الحقيبة الصغيرة ؟
من فضلك . أوقف عالجنب عند التقاطع الجاي .,"توقف في هذا الجانب من التقاطع القادم , من فضلك ."
هل توجد محطة مترو أنفاق قريباً من هنا ؟,هل توجد محطة مترو أنفاق قريباً من هنا ؟
ده للأطفال؟,هل هذا للأطفال ؟
ناشف.,جاف .
صاحبى اتصاب.,صديقي مصاب .
عايز حاجه عشان الصداع الجامد .,أريد شيئاً لآلام الرأس .
إحنا معندناش شنطة للكمية دى يبقى هحطه فى الشنطة البلاستيك الكبيرة دى.,ليس لدينا حقيبة لمثل هذه الكمية ولذلك سأضعها في هذه الحقيبة البلاستيكية الكبيرة .
بس اإنت لازم توعدني انك تضرب الكورة، مش أنا. ماشي؟,ولكن عليك أن تعدني بركل الكرة ، وليس أنا . موافق ؟
طبعا. خليني أشوف. ممكن آخد شوية نبيذ أبدأ بيهم؟,بالتأكيد . دعني أفكر . هل يمكنني تناول من الخمر الأسباني في البداية ؟
سأغادر في السابعة صباحاً غداً .,سأغادر في السابعة صباحاً غداً .
حالة الجو هاتكون ايه بكرة؟,ما هي النشرة الجوية للغد ؟
عندى ميعاد تانى.,لدي موعد آخر .
أريد شريط لكاميرا فيديو ، من فضلك .,أريد شريط لكاميرا فيديو ، من فضلك .
من فضلك افتح الباب بالمفتاح الاحتياطي .,من فضلك افتح الباب بالمفتاح الاحتياطي .
شغلك ايه؟,ما هي وظيفتك ؟
هل يمكنك أن تغير الصياغة طبقاً لما قلته للتو ؟,هل يمكنك أن تغير الصياغة طبقاً لما قلته للتو ؟
إنه كيمورا ك ي م و ر ا .,إنه كيمورا ك ي م و ر ا .
كان يحسن بها أن تملأ استمارة الجمارك هذه وتسلمها .,كان يحسن بها أن تملأ استمارة الجمارك هذه وتسلمها .
عندكم انواع ايه من الروج؟,أي نوع من طلاء الشفاه لديكم ؟
إنها غير متاحة في المحلات .,إنها غير متاحة في المحلات .
أتطلع إلى تغيير الحرس .,أتطلع إلى تغيير الحرس .
شكله مبهرج قوي .,يبدو مبهرجا .
فيه كازينوهات كويسه موجوده؟,هل توجد أية كازينوهات جيدة ؟
ده قطر سريع؟,هل هذا قطار سريع ؟
اسمي تسونيو سوزوكي . هاهو تأكيد الحجز الخاص بي .,اسمي تسونيو سوزوكي . هاهو تأكيد الحجز الخاص بي .
من سبعة لتسعة . من فضلك تعالى للمطعم في الدور التاني .,"من فضلك , تعالى إلى المطعم في الدور الثاني من الساعة السابعة إلى الساعة التاسعة ."
ممكن آخد طوابع بريد لتلات بطاقات بريد جوى لليابان؟,هل يمكنني الحصول على طوابع بريدية لثلاث بطاقات بريدية جوية لليابان ؟
عملت ورقتك؟,هل قمت بإنهاء أوراقك ؟
ما المدة التي يستغرقها للوصول لليابان عن طريق البريد البري ؟,ما المدة التي يستغرقها للوصول لليابان عن طريق البريد البري ؟
حجوزات الساعة سبعة، تحت اسم مانو.,الحجوزات في السابعة ، تحت اسم مانو .
عايز باسكت رحلات .,أريد سلة رحلات .
لقد طرحت أرضا بواسطة شخص غريب .,لقد طرحت أرضا بواسطة شخص غريب .
لو سمحت. أنا طالب جامعي من اليابان. إنتم طلبة من جامعة نيويورك؟,معذرة . أنا طالب جامعي من اليابان . هل أنتم طلاب في جامعة نيويورك ؟
أعتقد أن الجو سيكون افضل في الغد .,أعتقد أن الجو سيكون افضل في الغد .
"في واقع الأمر , جدي الأول أتى من سيسيلي في بداية القرن .","في واقع الأمر , جدي الأول أتى من سيسيلي في بداية القرن ."
لأ، انا خايف اننا حنتأخر كذا ساعة .,لا ، أخشى أننا سنتأخر لساعات قليلة .
هذا المكان مكتظ بالناسب ، أليس كذلك ؟,هذا المكان مكتظ بالناسب ، أليس كذلك ؟
اسف اني قاطعت كلامك، بس خلينا نخش في الموضوع الاساسي . عندنا حاجات كتيرة نناقشها النهاردة .,آسف للمقاطعة ، ولكن دعنا نتناول القضية الرئيسية . لدينا الكثير لمناقشته اليوم .
ده ليك .,إنها ملكك .
عمري ما سمعت عن العنوان ده هنا .,لم اسمع بهذا العنوان من قبل بالقرب من هنا .
"وإن كان "" رينجي "" سوف يكتب الخطة الأصلية ويوزعها على ذوي الشأن لأخذ موافقتهم .","وإن كان "" رينجي "" سوف يكتب الخطة الأصلية ويوزعها على ذوي الشأن لأخذ موافقتهم ."
أين أغيّر السيارات ؟,أين أغيّر السيارات ؟
عايز تأمين يغطي الاصطدام والمسئولية القانونية؟,هل تريد نسبة تأمينية لكل من التصادم واحتمالية التصادم ؟
ده مش اخر نموذج، مش كده؟,إنها ليست أحدث طراز ، أليس كذلك ؟
شكلك عندك إنفلونزا.,أنت مصاب بالأنفلونزا على ما يبدو .
ممكن أغير شركة الطيران؟,هل يمكن أن أغير شركة الطيران ؟
هل يوجد لديكم أي عصير برتقال ؟,هل يوجد لديكم أي عصير برتقال ؟
معنديش وقت عشان أحدد. سرع، لو سمحت.,ليس لدى وقت . أسرع ، من فضلك .
أيه الكلب اللطيف ده. سلالته ايه ده؟,يا لها من كلاب ذكية . من أي فصيلة ؟
أنا عايز أبقى مع صاحبي.,أريد اللحاق بصديقي .
كنت على متن رحلة بان أمريكا أربعة صفر اثنين . تفحصت حقيبتين .,كنت على متن رحلة بان أمريكا أربعة صفر اثنين . تفحصت حقيبتين .
فيه كمان انواع كتير مكرونه نودلز سريعة التحضير . كوبايه نودلز ممكن تتحضر في تلات دقايق بعد ما نضيف الميه المغليه .,يوجد أيضا أنواع كثيرة من الرامن سريعة التحضير . فنجان من الرامن يمكن أن يحضر في ثلاث دقائق بعد إضافة الماء المغلي .
هاخد تلتمية جرام من ده.,سآخذ ثلاثمائة جرام من هذا .
كنا عايزين طربيزة في البالكونة.,نريد مائدة في الشرفة .
اللون ده منتشر الأيام دي.,هذا اللون مرغوب هذه الأيام .
عايزين ترابيزة جنب الشباك .,نريد مائدة بجانب النافذة .
قاع البحر مغطى بالمرجان .,قاع البحر مغطى بالمرجان .
عالعموم كانت رحلة سهله و مشاكل قليله .,عموما لقد كانت رحلة طيران سهلة تخللتها قليل من المشاكل .
انا بأقول ان الصيف هنا مش وحش قوي.,أقول أن الصيف هنا ليس سيئاً جيدا .
انا اننرفزت من اللي قاله البياع في المحل .,أنا كنت غضبان مما قاله موظف البيع .
تحب تاخد مشروب قبل الاكل؟,هل ترغب في تناول شراب قبل العشاء ؟
معايا مارفن دورفلير عالخط . تحب أوصلك بيه؟,معي مارفين دورفلر على الخط ، هل أوصله بالهاتف ؟
